job_title,salary_range,company_profile,requirements,fraudulent
Freelance Job Without Skills,35574 per month,Newly launched company offering huge income,Click ads and get paid instantly,1
Urgent Hiring - No Interview,32777 per month,No verified contact details available,"Immediate start, limited positions available",1
Urgent Hiring - No Interview,42431 per month,"No official address, only online presence",Click ads and get paid instantly,1
Sales Associate,45947 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Data Analyst,71430 per annum,Leading marketing firm in the US,Excellent communication and multitasking skills,0
Freelance Job Without Skills,35512 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Sales Associate,86709 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
HR Specialist,65242 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Financial Analyst,79712 per annum,Trusted e-commerce platform,"Experience in marketing campaigns, content creation",0
Web Developer,35598 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Data Entry Without Experience,37758 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Work From Home - Earn $5000 Weekly,46988 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Instant Joining Job,17856 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Data Analyst,76657 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Network Administrator,39741 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Get Paid Daily From Home,37872 per month,Newly launched company offering huge income,"No interview, just register online",1
Sales Associate,34543 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Data Analyst,72552 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Get Paid Daily From Home,38812 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Instant Joining Job,35962 per month,"No official address, only online presence","No interview, just register online",1
Online Form Filling Job,23370 per month,"No official address, only online presence","No experience required, just internet access",1
Marketing Manager,84432 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Sales Associate,36484 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Financial Analyst,56731 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Software Engineer,76016 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Easy Income Job,23113 per month,Fake testimonials and unverifiable claims,Click ads and get paid instantly,1
Freelance Job Without Skills,13261 per month,"No official address, only online presence","No experience required, just internet access",1
Network Administrator,77399 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Part-Time Typing Job,12104 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Part-Time Typing Job,48063 per month,"No official address, only online presence","No experience required, just internet access",1
Data Analyst,72487 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Instant Joining Job,47339 per month,No verified contact details available,"No interview, just register online",1
International Job With Free Visa,17355 per month,No verified contact details available,"No interview, just register online",1
Urgent Hiring - No Interview,30436 per month,Fake testimonials and unverifiable claims,Click ads and get paid instantly,1
Software Engineer,87003 per annum,Leading marketing firm in the US,"Knowledge of Adobe Photoshop, creativity required",0
Easy Income Job,49297 per month,No verified contact details available,"Immediate start, limited positions available",1
Work From Home - Earn $5000 Weekly,49212 per month,Company promises instant returns,"No interview, just register online",1
Part-Time Typing Job,25065 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Get Paid Daily From Home,12843 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Marketing Manager,67697 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Online Form Filling Job,24184 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Data Analyst,87045 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Customer Support Executive,71935 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Easy Income Job,22571 per month,No verified contact details available,"No experience required, just internet access",1
Network Administrator,58393 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Data Analyst,35666 per annum,Leading marketing firm in the US,"Knowledge of Adobe Photoshop, creativity required",0
Freelance Job Without Skills,49607 per month,Company promises instant returns,Click ads and get paid instantly,1
Online Form Filling Job,45234 per month,"No official address, only online presence","No interview, just register online",1
Customer Support Executive,53684 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Get Paid Daily From Home,14420 per month,Company promises instant returns,"No interview, just register online",1
Work From Home - Earn $5000 Weekly,31586 per month,Company promises instant returns,"No experience required, just internet access",1
HR Specialist,83081 per annum,Fast-growing SaaS startup based in India,"Proficient in Python and SQL, good analytical skills",0
Marketing Manager,65654 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
HR Specialist,82693 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Work From Home - Earn $5000 Weekly,29261 per month,Company promises instant returns,"No interview, just register online",1
Easy Income Job,19943 per month,No verified contact details available,Work 2 hours a day and earn big,1
International Job With Free Visa,14076 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Customer Support Executive,42819 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Get Paid Daily From Home,38180 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Web Developer,70391 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Easy Income Job,14621 per month,"No official address, only online presence",Click ads and get paid instantly,1
Work From Home - Earn $5000 Weekly,44092 per month,No verified contact details available,"No interview, just register online",1
Data Entry Without Experience,36346 per month,Company promises instant returns,"Immediate start, limited positions available",1
Instant Joining Job,24644 per month,Company promises instant returns,Work 2 hours a day and earn big,1
HR Specialist,65303 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Instant Joining Job,30616 per month,Company promises instant returns,"No interview, just register online",1
Online Form Filling Job,20924 per month,No verified contact details available,Click ads and get paid instantly,1
Financial Analyst,75843 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Data Entry Without Experience,10214 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Part-Time Typing Job,15556 per month,Company promises instant returns,"No experience required, just internet access",1
Marketing Manager,37519 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Customer Support Executive,88626 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Graphic Designer,67398 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Network Administrator,50288 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Financial Analyst,63248 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Easy Income Job,10203 per month,"No official address, only online presence","No interview, just register online",1
Marketing Manager,48312 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Part-Time Typing Job,27428 per month,"No official address, only online presence","No experience required, just internet access",1
Web Developer,56692 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Customer Support Executive,47657 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
Freelance Job Without Skills,44317 per month,Company promises instant returns,"Immediate start, limited positions available",1
Data Analyst,74161 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
International Job With Free Visa,11854 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Freelance Job Without Skills,46920 per month,Company promises instant returns,"Immediate start, limited positions available",1
Online Form Filling Job,44967 per month,No verified contact details available,"No interview, just register online",1
HR Specialist,80203 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Work From Home - Earn $5000 Weekly,37795 per month,Company promises instant returns,Click ads and get paid instantly,1
Marketing Manager,63864 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Graphic Designer,84382 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Data Entry Without Experience,43969 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Data Analyst,73180 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Customer Support Executive,37255 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Urgent Hiring - No Interview,17734 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Marketing Manager,58995 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Web Developer,41188 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Online Form Filling Job,21593 per month,No verified contact details available,Click ads and get paid instantly,1
Get Paid Daily From Home,21144 per month,"No official address, only online presence","No interview, just register online",1
HR Specialist,40198 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Customer Support Executive,49348 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Graphic Designer,51983 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
International Job With Free Visa,10921 per month,Newly launched company offering huge income,"No interview, just register online",1
Part-Time Typing Job,48269 per month,Company promises instant returns,"No interview, just register online",1
Web Developer,46658 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Sales Associate,35034 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
Data Entry Without Experience,20817 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
Financial Analyst,70792 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Graphic Designer,56299 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Network Administrator,57709 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Financial Analyst,68313 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Easy Income Job,49294 per month,"No official address, only online presence","Immediate start, limited positions available",1
Marketing Manager,60114 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Network Administrator,53755 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Online Form Filling Job,19803 per month,No verified contact details available,Click ads and get paid instantly,1
Urgent Hiring - No Interview,12364 per month,Company promises instant returns,"Immediate start, limited positions available",1
Software Engineer,53547 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Network Administrator,67622 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Online Form Filling Job,23327 per month,"No official address, only online presence","Immediate start, limited positions available",1
Work From Home - Earn $5000 Weekly,42918 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Freelance Job Without Skills,40757 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
International Job With Free Visa,29802 per month,No verified contact details available,"Immediate start, limited positions available",1
Online Form Filling Job,45150 per month,"No official address, only online presence","Immediate start, limited positions available",1
Get Paid Daily From Home,42151 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Get Paid Daily From Home,43402 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Software Engineer,31154 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Easy Income Job,44040 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Software Engineer,52693 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Software Engineer,77439 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Marketing Manager,75708 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Marketing Manager,60370 per annum,Leading marketing firm in the US,Excellent communication and multitasking skills,0
Software Engineer,38655 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Get Paid Daily From Home,26773 per month,"No official address, only online presence",Click ads and get paid instantly,1
International Job With Free Visa,34141 per month,Company promises instant returns,"No interview, just register online",1
Graphic Designer,73887 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Urgent Hiring - No Interview,44408 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Network Administrator,43343 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Freelance Job Without Skills,36366 per month,"No official address, only online presence","No experience required, just internet access",1
Work From Home - Earn $5000 Weekly,26376 per month,Newly launched company offering huge income,"No interview, just register online",1
Data Analyst,40344 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Graphic Designer,52885 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Data Analyst,48406 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Online Form Filling Job,25643 per month,Company promises instant returns,Click ads and get paid instantly,1
Online Form Filling Job,13642 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Instant Joining Job,40485 per month,Company promises instant returns,"No experience required, just internet access",1
Data Analyst,31820 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Get Paid Daily From Home,23419 per month,"No official address, only online presence",Click ads and get paid instantly,1
International Job With Free Visa,47646 per month,No verified contact details available,Work 2 hours a day and earn big,1
Software Engineer,47304 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Network Administrator,73568 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Network Administrator,43743 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Freelance Job Without Skills,26020 per month,Company promises instant returns,"No experience required, just internet access",1
Web Developer,54323 per annum,Leading marketing firm in the US,Excellent communication and multitasking skills,0
Sales Associate,69217 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Data Entry Without Experience,26248 per month,Company promises instant returns,Click ads and get paid instantly,1
Online Form Filling Job,33568 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Software Engineer,46689 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Financial Analyst,57562 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Web Developer,85439 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Data Entry Without Experience,40743 per month,No verified contact details available,Work 2 hours a day and earn big,1
Data Analyst,71065 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Customer Support Executive,45081 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Get Paid Daily From Home,14705 per month,No verified contact details available,Work 2 hours a day and earn big,1
Data Analyst,46272 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Get Paid Daily From Home,15203 per month,No verified contact details available,Click ads and get paid instantly,1
Easy Income Job,22486 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Easy Income Job,15129 per month,"No official address, only online presence","No experience required, just internet access",1
International Job With Free Visa,38719 per month,Newly launched company offering huge income,"No interview, just register online",1
Graphic Designer,35942 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
International Job With Free Visa,12578 per month,No verified contact details available,Work 2 hours a day and earn big,1
Urgent Hiring - No Interview,17048 per month,Newly launched company offering huge income,"No interview, just register online",1
Customer Support Executive,84045 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Instant Joining Job,38869 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Part-Time Typing Job,33710 per month,"No official address, only online presence","Immediate start, limited positions available",1
Software Engineer,43717 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Online Form Filling Job,27374 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
International Job With Free Visa,25111 per month,No verified contact details available,Work 2 hours a day and earn big,1
Customer Support Executive,68818 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Data Entry Without Experience,28905 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
Work From Home - Earn $5000 Weekly,10846 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Sales Associate,55736 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
International Job With Free Visa,46451 per month,Company promises instant returns,Click ads and get paid instantly,1
Online Form Filling Job,11387 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Freelance Job Without Skills,41221 per month,No verified contact details available,Work 2 hours a day and earn big,1
Online Form Filling Job,44153 per month,No verified contact details available,Click ads and get paid instantly,1
Online Form Filling Job,22115 per month,No verified contact details available,Work 2 hours a day and earn big,1
Software Engineer,41605 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
International Job With Free Visa,23680 per month,No verified contact details available,"No experience required, just internet access",1
Data Analyst,61851 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Financial Analyst,33026 per annum,Leading marketing firm in the US,"Knowledge of Adobe Photoshop, creativity required",0
Online Form Filling Job,19561 per month,"No official address, only online presence",Click ads and get paid instantly,1
Instant Joining Job,26556 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Network Administrator,85362 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Marketing Manager,75974 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Data Analyst,89733 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Marketing Manager,46778 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Part-Time Typing Job,37021 per month,No verified contact details available,"Immediate start, limited positions available",1
Data Entry Without Experience,41529 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
International Job With Free Visa,13424 per month,No verified contact details available,"No experience required, just internet access",1
Part-Time Typing Job,24738 per month,"No official address, only online presence","Immediate start, limited positions available",1
Instant Joining Job,40670 per month,"No official address, only online presence","Immediate start, limited positions available",1
Easy Income Job,34538 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Web Developer,39470 per annum,Leading marketing firm in the US,"Proficient in Python and SQL, good analytical skills",0
Marketing Manager,68949 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Get Paid Daily From Home,20358 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Data Analyst,30998 per annum,Trusted e-commerce platform,"Experience in marketing campaigns, content creation",0
Work From Home - Earn $5000 Weekly,15979 per month,No verified contact details available,"No interview, just register online",1
Instant Joining Job,24021 per month,No verified contact details available,"Immediate start, limited positions available",1
Marketing Manager,35118 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Freelance Job Without Skills,49001 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Graphic Designer,86769 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Freelance Job Without Skills,19438 per month,Company promises instant returns,"Immediate start, limited positions available",1
Customer Support Executive,37620 per annum,Leading marketing firm in the US,"Proficient in Python and SQL, good analytical skills",0
Customer Support Executive,43899 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Sales Associate,67899 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Network Administrator,70834 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Work From Home - Earn $5000 Weekly,25331 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Get Paid Daily From Home,46112 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Software Engineer,59223 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
International Job With Free Visa,46790 per month,"No official address, only online presence","Immediate start, limited positions available",1
Data Analyst,54302 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Online Form Filling Job,35403 per month,Newly launched company offering huge income,Click ads and get paid instantly,1
Urgent Hiring - No Interview,26025 per month,Company promises instant returns,"Immediate start, limited positions available",1
Financial Analyst,74783 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Work From Home - Earn $5000 Weekly,34449 per month,Company promises instant returns,Click ads and get paid instantly,1
Data Entry Without Experience,39009 per month,Newly launched company offering huge income,Click ads and get paid instantly,1
Software Engineer,45973 per annum,Leading marketing firm in the US,Excellent communication and multitasking skills,0
Instant Joining Job,27210 per month,Company promises instant returns,Click ads and get paid instantly,1
Work From Home - Earn $5000 Weekly,26182 per month,Company promises instant returns,"No interview, just register online",1
Easy Income Job,45161 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Data Analyst,89879 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Work From Home - Earn $5000 Weekly,13772 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Graphic Designer,82789 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Part-Time Typing Job,11284 per month,No verified contact details available,Click ads and get paid instantly,1
Sales Associate,72252 per annum,Leading marketing firm in the US,"Proficient in Python and SQL, good analytical skills",0
Freelance Job Without Skills,32009 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Financial Analyst,42130 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
International Job With Free Visa,11499 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Financial Analyst,73042 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Get Paid Daily From Home,30138 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Work From Home - Earn $5000 Weekly,39469 per month,No verified contact details available,"No experience required, just internet access",1
Easy Income Job,13009 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Data Entry Without Experience,33882 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Work From Home - Earn $5000 Weekly,19466 per month,No verified contact details available,"No interview, just register online",1
Web Developer,72500 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
International Job With Free Visa,28682 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Software Engineer,50620 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
Customer Support Executive,63657 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Data Entry Without Experience,33952 per month,Newly launched company offering huge income,"No interview, just register online",1
Urgent Hiring - No Interview,11916 per month,Company promises instant returns,"No interview, just register online",1
Easy Income Job,19896 per month,Company promises instant returns,Click ads and get paid instantly,1
Easy Income Job,39837 per month,"No official address, only online presence","No interview, just register online",1
Online Form Filling Job,30869 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Work From Home - Earn $5000 Weekly,14487 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Work From Home - Earn $5000 Weekly,17801 per month,No verified contact details available,Work 2 hours a day and earn big,1
Web Developer,88121 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Financial Analyst,45784 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Network Administrator,80893 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Web Developer,64132 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Data Analyst,47323 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Instant Joining Job,24555 per month,Newly launched company offering huge income,Click ads and get paid instantly,1
International Job With Free Visa,22447 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Freelance Job Without Skills,16249 per month,No verified contact details available,"No experience required, just internet access",1
Easy Income Job,27157 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Part-Time Typing Job,25846 per month,No verified contact details available,"Immediate start, limited positions available",1
Instant Joining Job,35393 per month,No verified contact details available,Click ads and get paid instantly,1
Sales Associate,37048 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Easy Income Job,45260 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Data Analyst,77813 per annum,Leading marketing firm in the US,Excellent communication and multitasking skills,0
Freelance Job Without Skills,10208 per month,Company promises instant returns,"No interview, just register online",1
Financial Analyst,73362 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Urgent Hiring - No Interview,17599 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Network Administrator,59861 per annum,Leading marketing firm in the US,"Proficient in Python and SQL, good analytical skills",0
Get Paid Daily From Home,32201 per month,Company promises instant returns,"No interview, just register online",1
Easy Income Job,46713 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
HR Specialist,63888 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Financial Analyst,33288 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Web Developer,44645 per annum,Leading marketing firm in the US,"Knowledge of Adobe Photoshop, creativity required",0
Software Engineer,33967 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Easy Income Job,22036 per month,"No official address, only online presence","Immediate start, limited positions available",1
Part-Time Typing Job,15998 per month,"No official address, only online presence",Click ads and get paid instantly,1
International Job With Free Visa,20136 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
Marketing Manager,87914 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Software Engineer,86596 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Part-Time Typing Job,20904 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Marketing Manager,71144 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
Part-Time Typing Job,47932 per month,Company promises instant returns,"No experience required, just internet access",1
Get Paid Daily From Home,27977 per month,"No official address, only online presence",Click ads and get paid instantly,1
Network Administrator,63226 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Web Developer,60288 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Work From Home - Earn $5000 Weekly,31066 per month,Newly launched company offering huge income,"No interview, just register online",1
Work From Home - Earn $5000 Weekly,35445 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Urgent Hiring - No Interview,25519 per month,No verified contact details available,"No interview, just register online",1
Customer Support Executive,72211 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Get Paid Daily From Home,44768 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
International Job With Free Visa,34522 per month,Newly launched company offering huge income,Click ads and get paid instantly,1
Customer Support Executive,81876 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Easy Income Job,10382 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
Get Paid Daily From Home,22197 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Urgent Hiring - No Interview,15971 per month,"No official address, only online presence","Immediate start, limited positions available",1
International Job With Free Visa,13348 per month,No verified contact details available,Work 2 hours a day and earn big,1
Customer Support Executive,49806 per annum,Fast-growing SaaS startup based in India,"Proficient in Python and SQL, good analytical skills",0
Data Entry Without Experience,12040 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Network Administrator,71200 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Data Entry Without Experience,38410 per month,"No official address, only online presence",Click ads and get paid instantly,1
Data Entry Without Experience,39074 per month,Fake testimonials and unverifiable claims,Click ads and get paid instantly,1
